Date,Close,Prediction,Up_Probability,Signal,Position,Future_Return_30D,Market_Return,Strategy_Return,Cumulative_Market,Cumulative_Strategy
2016-05-04,12.55955696105957,1.0,0.71096522046757,BUY,1,0.012373449560162841,,,,
2016-05-05,12.534833908081056,1.0,0.71096522046757,BUY,1,0.01437020217859053,-0.0019684653730356327,-0.0019011047732669928,0.9980315346269644,0.998098895226733
2016-05-06,12.591344833374023,1.0,0.8247166045906196,BUY,1,0.018232774989771272,0.004508310657114878,0.004545385070963359,1.0025309708306598,1.0026356390444415
2016-05-09,12.654918670654297,1.0,0.8486195754897359,BUY,1,0.015350374132116817,0.005049010897689721,0.005049010897689721,1.0075927606276553,1.007697957312389
2016-05-10,12.803260803222656,1.0,0.7146440342902518,BUY,1,0.002482720545076589,0.011722092921256921,0.011689216926475066,1.0194038565945185,1.0194771573317793
2016-05-11,12.714962005615234,1.0,0.7690442948424627,BUY,1,0.020277809196163066,-0.006896586655892878,-0.006904207355972303,1.012373449560163,1.0124384756428835
2016-05-12,12.672578811645508,1.0,0.8748318864252704,BUY,1,-0.013377922394383845,-0.0033333323332785936,-0.003336038231140148,1.0089988724073913,1.0090609421814616
2016-05-13,12.601940155029297,1.0,0.6736156708637808,BUY,1,-0.03026897345651902,-0.005574134330993297,-0.005540500890632294,1.0033745771527718,1.003470239132603
2016-05-16,12.782069206237791,1.0,0.6642541572870237,BUY,1,-0.024039819231124193,0.01429375548467493,0.01430208538187172,1.0177165680181326,1.0178219561708446
2016-05-17,12.584280967712402,1.0,0.7793463959640996,BUY,1,0.009823141469772922,-0.015473882619010282,-0.01546038008053685,1.001968541305198,1.0020860418741278
2016-05-18,12.580748558044434,1.0,0.739884555635843,BUY,1,0.019090392863908345,-0.00028070015895476086,-0.0002802271115175392,1.001687288576386,1.0018052301971214
2016-05-19,12.566620826721191,1.0,0.5225103242696795,BUY,1,0.030073103576921723,-0.001122964286112249,-0.001116876881753548,1.000562429525462,1.0006863370954944
2016-05-20,12.757346153259276,0.0,0.44297662771989177,SELL,0,0.006090731384886361,0.015177137049646072,0.00534011501961329,1.0157481026450967,1.00603011723414
2016-05-24,12.94806957244873,0.0,0.43763939141680486,SELL,0,-0.0016366607289440838,0.014950085770050858,0.0,1.0309336239004074,1.00603011723414
2016-05-25,13.071687698364258,0.0,0.2283582708501141,SELL,0,-0.008105914658409263,0.009547224412399302,0.0,1.0407761785620726,1.00603011723414
2016-05-26,13.09287929534912,0.0,0.2283582708501141,SELL,0,0.00512540026028363,0.001621182931681675,0.0,1.0424634671384583,1.00603011723414
2016-05-27,13.163517951965332,0.0,0.17279266438719743,SELL,0,0.0072443939334994045,0.005395196505119104,0.0,1.048087762393078,1.00603011723414
2016-05-30,13.21296501159668,0.0,0.10348955837007957,SELL,0,0.007484627347147388,0.0037563711928516597,0.0,1.0520247690713118,1.00603011723414
2016-05-31,13.14939022064209,0.0,0.18089128612010838,SELL,0,0.01047545589015475,-0.004811546151737511,0.0,1.0469629033421541,1.00603011723414
2016-06-01,13.209432601928713,0.0,0.106767258358464,SELL,0,0.010962599777317061,0.004566172292336912,0.0,1.0517435163424997,1.00603011723414
2016-06-02,13.22356128692627,0.0,0.09741402417968671,SELL,0,0.009882439009227584,0.0010695906041788827,0.0,1.0528684513255857,1.00603011723414
